Deutsch,Wortart,Thailändisch,Add Reverse
zeichnen,V.,วาดรูป,y
zeigen,V.,แสดงให้เห็น,y
ziemlich,Adj.,ค่อนข้าง,y
zögern,V.,ลังเล,y
zu ~ gratulieren,V.,เฉลิมฉลองเนื่องในโอกาส ~,y
zubereiten,V.,เตรียม (อาหาร),y
zuerst,Adv.,…ก่อนอื่น อันดับแรก,y
zufrieden,Adj.,เป็นที่น่าพอใจ,y
zu Fuß gehen,V.,เดินไป,y
zuhören,V.,ฟัง,y
zumachen,[Trennbare] V.,ปิด (ไม่ใช่ไฟฟ้า),y
zum Beispiel,,ยกตัวอย่าง เช่น,y
zurück,Adv.,กลับ ย้อน,y
zurufen,V.,เรียก,y
zusammen,Adv.,ด้วยกัน (จ่ายรวม),y
zu sein,V.,ปิดอยู่ (ไม่ใช้ไฟฟ้า),y
zuverlässig,Adj.,เชื่อถือได้ (!s),y
zwischen,Präp.,ระหว่าง,y
